,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
73,2024-01-02,United Airlines,15h 10m,New York,Dubai,10:05 pm,10:15 pm,1h 25m,Zurich,1,1.0,2.0,"1,200"
74,2024-01-02,"United Airlines, SWISS",15h 10m,New York,Dubai,10:05 pm,10:15 pm,1h 25m,Zurich,1,1.0,2.0,"1,200"
75,2024-01-02,Qatar Airways,17h 25m,New York,Dubai,1:25 am,3:50 am,3h 45m,Doha Hamad Intl,1,1.0,0.0,"1,033"
76,2024-01-02,British Airways,15h 25m,New York,Dubai,8:05 am,8:30 am,1h 45m,London Heathrow,1,1.0,1.0,"1,200"
77,2024-01-02,Lufthansa,15h 45m,New York,Dubai,10:10 pm,10:55 pm,1h 25m,Frankfurt am Main,1,1.0,2.0,"1,201"
78,2024-01-02,Lufthansa,15h 55m,New York,Dubai,10:00 pm,10:55 pm,1h 40m,Frankfurt am Main,1,1.0,2.0,"1,201"
79,2024-01-02,SWISS,16h 15m,New York,Dubai,9:00 pm,10:15 pm,2h 20m,Zurich,1,1.0,2.0,"1,197"
80,2024-01-02,"United Airlines, Lufthansa",15h 45m,New York,Dubai,10:10 pm,10:55 pm,1h 25m,Frankfurt am Main,1,1.0,2.0,"1,225"
81,2024-01-02,United Airlines,15h 45m,New York,Dubai,10:10 pm,10:55 pm,1h 25m,Frankfurt am Main,1,1.0,2.0,"1,225"
82,2024-01-02,United Airlines,15h 55m,New York,Dubai,10:00 pm,10:55 pm,1h 40m,Frankfurt am Main,1,1.0,2.0,"1,225"
83,2024-01-02,Air Canada,16h 05m,New York,Dubai,6:40 pm,7:45 pm,1h 11m,Toronto Pearson Intl,1,1.0,1.0,"1,179"
84,2024-01-02,Lufthansa,18h 15m,New York,Dubai,7:40 pm,10:55 pm,4h 20m,Frankfurt am Main,1,1.0,2.0,"1,201"
85,2024-01-02,United Airlines,18h 15m,New York,Dubai,7:40 pm,10:55 pm,4h 20m,Frankfurt am Main,1,1.0,2.0,"1,225"
86,2024-01-02,Air Canada,18h 05m,New York,Dubai,4:40 pm,7:45 pm,3h 11m,Toronto Pearson Intl,1,1.0,1.0,"1,179"
87,2024-01-02,Air Canada,18h 15m,New York,Dubai,4:30 pm,7:45 pm,3h 19m,Toronto Pearson Intl,1,1.0,1.0,"1,179"
88,2024-01-02,United Airlines,17h 35m,New York,Dubai,7:40 pm,10:15 pm,"0h 56m,1h 55m","Boston Logan Intl,Zurich",2,1.0,2.0,"1,200"
89,2024-01-02,SWISS,17h 30m,New York,Dubai,7:45 pm,10:15 pm,"1h 15m,1h 35m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,235"
90,2024-01-02,Turkish Airlines,20h 15m,New York,Dubai,8:00 pm,1:15 am,5h 55m,Istanbul,1,1.0,0.0,"1,060"
91,2024-01-02,Emirates,15h 25m,New York,Dubai,10:20 pm,10:45 pm,1h 45m,Milan Malpensa,1,1.0,2.0,"1,391"
92,2024-01-02,Qatar Airways,15h 55m,New York,Dubai,8:20 pm,9:15 pm,2h 15m,Doha Hamad Intl,1,1.0,0.0,"1,482"
