,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
73,2024-02-01,SWISS,19h 35m,New York,Dubai,5:40 pm,10:15 pm,"3h 55m,0h 55m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
74,2024-02-01,Turkish Airlines,18h 25m,New York,Dubai,11:40 pm,3:05 am,4h 15m,Istanbul,1,1.0,0.0,"1,099"
75,2024-02-01,"United Airlines, SWISS",19h 15m,New York,Dubai,6:00 pm,10:15 pm,"2h 30m,1h 20m","London Heathrow,Zurich",2,1.0,2.0,"1,056"
76,2024-02-01,"United Airlines, Lufthansa",19h 10m,New York,Dubai,6:45 pm,10:55 pm,"2h 35m,1h 25m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,066"
77,2024-02-01,"United Airlines, Lufthansa",19h 10m,New York,Dubai,6:45 pm,10:55 pm,"1h 35m,2h 25m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,066"
78,2024-02-01,"United Airlines, SWISS",20h 50m,New York,Dubai,4:25 pm,10:15 pm,6h 55m,Zurich,1,1.0,1.0,"1,026"
79,2024-02-01,Turkish Airlines,20h 15m,New York,Dubai,8:00 pm,1:15 am,5h 55m,Istanbul,1,1.0,0.0,"1,102"
80,2024-02-01,Multiple Airlines,20h 55m,New York,Dubai,6:10 pm,12:05 am,"4h 20m,1h 15m","London Gatwick,Istanbul",2,1.0,0.0,711
81,2024-02-01,United Airlines,20h 26m,New York,Dubai,5:29 pm,10:55 pm,"3h 05m,1h 40m","Washington, D.C. Dulles Intl,Frankfurt am Main",2,1.0,2.0,"1,051"
82,2024-02-01,Air Canada,18h 20m,New York,Dubai,4:30 pm,7:50 pm,3h 19m,Toronto Pearson Intl,1,1.0,1.0,"1,204"
83,2024-02-01,SWISS,19h 35m,New York,Dubai,5:40 pm,10:15 pm,"3h 10m,1h 35m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
84,2024-02-01,SWISS,19h 35m,New York,Dubai,5:40 pm,10:15 pm,"2h 40m,2h 05m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
85,2024-02-01,"SWISS, Wizz Air",19h 55m,New York,Dubai,4:25 pm,9:20 pm,"1h 05m,3h 50m","Zurich,Budapest Ferenc Liszt Intl",2,0.0,0.0,799
86,2024-02-01,Lufthansa,20h 25m,New York,Dubai,5:30 pm,10:55 pm,"3h 40m,1h 25m","Munich Franz Josef Strauss,Frankfurt am Main",2,1.0,2.0,"1,059"
