Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
2024-01-19,"Air Canada, Lufthansa",17h 05m,Los Angeles,London,7:40 am,8:45 am,"1h 15m,1h 30m","Toronto Pearson Intl,Frankfurt am Main",2,1.0,0,616
2024-01-19,Lufthansa,19h 30m,Los Angeles,London,5:30 pm,9:00 pm,6h 15m,Munich Franz Josef Strauss,1,1.0,0,538
2024-01-19,Iberia,12h 50m,Los Angeles,London,10:30 am,7:20 am,0h 46m,Dallas/Fort Worth,1,1.0,1,990
2024-01-19,British Airways,12h 50m,Los Angeles,London,10:30 am,7:20 am,0h 46m,Dallas/Fort Worth,1,1.0,1,990
2024-01-19,Lufthansa,19h 15m,Los Angeles,London,7:00 am,10:15 am,6h 41m,Newark,1,1.0,0,580
2024-01-19,KLM,12h 35m,Los Angeles,London,1:50 pm,10:25 am,1h 00m,Amsterdam Schiphol,1,1.0,0,980
2024-01-19,Brussels Airlines,15h 55m,Los Angeles,London,7:00 am,6:55 am,3h 26m,Newark,1,1.0,1,759
2024-01-19,Brussels Airlines,16h 00m,Los Angeles,London,8:25 am,8:25 am,3h 25m,Newark,1,1.0,1,759
2024-01-19,British Airways,13h 30m,Los Angeles,London,8:20 pm,5:50 pm,2h 00m,Dublin,1,1.0,1,987
2024-01-19,Virgin Atlantic,12h 40m,Los Angeles,London,4:15 pm,12:55 pm,1h 01m,San Francisco,1,1.0,0,998
2024-01-19,British Airways,13h 00m,Los Angeles,London,12:45 pm,9:45 am,1h 03m,Dallas/Fort Worth,1,1.0,0,"1,014"
2024-01-19,British Airways,13h 00m,Los Angeles,London,12:20 pm,9:20 am,0h 52m,New York John F Kennedy Intl,1,1.0,0,"1,014"
2024-01-19,British Airways,13h 20m,Los Angeles,London,9:00 am,6:20 am,1h 20m,Dallas/Fort Worth,1,1.0,1,990
2024-01-19,British Airways,13h 31m,Los Angeles,London,1:29 pm,11:00 am,1h 38m,Chicago O'Hare Intl,1,1.0,1,990
2024-01-19,Air Canada,19h 20m,Los Angeles,London,8:00 am,11:20 am,"2h 59m,2h 24m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,0,566
2024-01-19,Air Canada,19h 20m,Los Angeles,London,8:00 am,11:20 am,"1h 59m,3h 24m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,0,566
2024-01-19,Air Canada,19h 20m,Los Angeles,London,8:00 am,11:20 am,"3h 59m,1h 24m","Montreal Pierre Elliott Trudeau Intl,Toronto Pearson Intl",2,1.0,0,566
2024-01-19,JetBlue,17h 41m,Los Angeles,London,7:49 am,9:30 am,4h 55m,New York John F Kennedy Intl,1,1.0,0,683
2024-01-19,Virgin Atlantic,13h 00m,Los Angeles,London,2:10 pm,11:10 am,0h 42m,Atlanta Hartsfield-Jackson,1,1.0,0,998
2024-01-19,Virgin Atlantic,12h 35m,Los Angeles,London,1:50 pm,10:25 am,1h 00m,Amsterdam Schiphol,1,1.0,0,"1,028"
2024-01-19,Iberia,13h 45m,Los Angeles,London,10:30 am,8:15 am,1h 41m,Dallas/Fort Worth,1,1.0,1,990
